deployment_level,mach,cd
0.0,0.3,0.0
0.0,0.4,0.0
0.0,0.5,0.0
0.0,0.6,0.0
0.0,0.7,0.0
0.0,0.8,0.0
0.0,0.9,0.0
0.0,1.0,0.0
0.0,1.1,0.0
0.0,1.2,0.0
0.0,1.3,0.0
0.0,1.4,0.0
0.0,1.5,0.0
0.1,0.3,0.01907
0.1,0.4,0.01852
0.1,0.5,0.01797
0.1,0.6,0.01742
0.1,0.7,0.01436
0.1,0.8,0.0113
0.1,0.9,0.00824
0.1,1.0,0.01841
0.1,1.1,0.02858
0.1,1.2,0.03876
0.1,1.3,0.03822
0.1,1.4,0.03769
0.1,1.5,0.03716
0.2,0.3,0.04164
0.2,0.4,0.04068
0.2,0.5,0.03971
0.2,0.6,0.03874
0.2,0.7,0.0327
0.2,0.8,0.02667
0.2,0.9,0.02063
0.2,1.0,0.0404
0.2,1.1,0.06018
0.2,1.2,0.07995
0.2,1.3,0.07865
0.2,1.4,0.07734
0.2,1.5,0.07604
0.3,0.3,0.10624
0.3,0.4,0.10642
0.3,0.5,0.1066
0.3,0.6,0.10678
0.3,0.7,0.09881
0.3,0.8,0.09084
0.3,0.9,0.08288
0.3,1.0,0.10538
0.3,1.1,0.12788
0.3,1.2,0.15039
0.3,1.3,0.14542
0.3,1.4,0.14045
0.3,1.5,0.13549
0.4,0.3,0.17432
0.4,0.4,0.17481
0.4,0.5,0.1753
0.4,0.6,0.17579
0.4,0.7,0.16583
0.4,0.8,0.15588
0.4,0.9,0.14593
0.4,1.0,0.17131
0.4,1.1,0.19668
0.4,1.2,0.22206
0.4,1.3,0.21348
0.4,1.4,0.2049
0.4,1.5,0.19632
0.5,0.3,0.26164
0.5,0.4,0.25781
0.5,0.5,0.25399
0.5,0.6,0.25016
0.5,0.7,0.23792
0.5,0.8,0.22568
0.5,0.9,0.21344
0.5,1.0,0.24247
0.5,1.1,0.27149
0.5,1.2,0.30052
0.5,1.3,0.28861
0.5,1.4,0.27671
0.5,1.5,0.2648
0.6,0.3,0.34504
0.6,0.4,0.33996
0.6,0.5,0.33488
0.6,0.6,0.3298
0.6,0.7,0.31487
0.6,0.8,0.29995
0.6,0.9,0.28503
0.6,1.0,0.31742
0.6,1.1,0.34981
0.6,1.2,0.38219
0.6,1.3,0.36624
0.6,1.4,0.35028
0.6,1.5,0.33433
0.7,0.3,0.4154
0.7,0.4,0.41925
0.7,0.5,0.42309
0.7,0.6,0.42694
0.7,0.7,0.40803
0.7,0.8,0.38913
0.7,0.9,0.37022
0.7,1.0,0.40501
0.7,1.1,0.4398
0.7,1.2,0.47459
0.7,1.3,0.45217
0.7,1.4,0.42975
0.7,1.5,0.40733
0.8,0.3,0.48621
0.8,0.4,0.497
0.8,0.5,0.50779
0.8,0.6,0.51858
0.8,0.7,0.49542
0.8,0.8,0.47226
0.8,0.9,0.4491
0.8,1.0,0.4883
0.8,1.1,0.52751
0.8,1.2,0.56671
0.8,1.3,0.53679
0.8,1.4,0.50686
0.8,1.5,0.47693
0.9,0.3,0.55801
0.9,0.4,0.57129
0.9,0.5,0.58456
0.9,0.6,0.59784
0.9,0.7,0.56982
0.9,0.8,0.54179
0.9,0.9,0.51377
0.9,1.0,0.56192
0.9,1.1,0.61007
0.9,1.2,0.65821
0.9,1.3,0.61843
0.9,1.4,0.57864
0.9,1.5,0.53885
1.0,0.3,0.62981
1.0,0.4,0.64557
1.0,0.5,0.66134
1.0,0.6,0.6771
1.0,0.7,0.64422
1.0,0.8,0.61133
1.0,0.9,0.57844
1.0,1.0,0.63554
1.0,1.1,0.69263
1.0,1.2,0.74972
1.0,1.3,0.70007
1.0,1.4,0.65042
1.0,1.5,0.60077
